#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
14,animal doctor helpline number pakistan,pk,,40,,,,,,40,,,2021-07-10,,,"1, 0, 10, 10, 1, 3, 22, 40, 129, 87, 57, 46, 34, 46, 45, 47, 23, 54, 39, 47, 62, 16, 7, 2",9,
15,best vet in lahore,pk,4,40,0.05,,best vet in lahore,2026-08-11 16:00:24,"Local pack,People also ask,Discussions",40,30,30,2016-11-01,"Informational,Commercial,Non-branded,Local",English,"62, 74, 42, 43, 68, 35, 65, 60, 50, 42, 62, 63, 30, 31, 35, 39, 41, 37, 40, 45, 42, 46, 47, 29",42,Veterinarians
16,dog bite vaccination center jail road lahore,pk,,40,,,,,,40,,,2025-06-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39, 35, 53, 43, 31, 22, 53, 35, 33, 17, 27, 42, 34, 25",32,
17,veterinary doctor lahore,pk,,40,0.07,,,,,40,,,2016-03-02,"Informational,Commercial,Non-branded,Local",English,"30, 36, 31, 36, 37, 38, 52, 41, 75, 63, 43, 42, 21, 23, 24, 20, 28, 41, 26, 38, 110, 30, 32, 22",28,Veterinarians
18,animal doctor degree name,pk,,30,,,,,,300,,,2017-02-27,,,"126, 90, 61, 68, 36, 60, 42, 52, 78, 44, 92, 123, 88, 74, 21, 16, 23, 27, 22, 13, 44, 32, 25, 23",26,
19,veterinary doctor means,pk,,30,,,,,,300,,,2019-08-25,,,"15, 45, 44, 49, 77, 44, 44, 39, 53, 56, 56, 64, 21, 39, 23, 2, 8, 23, 19, 39, 58, 58, 47, 24",41,
20,what is animal doctor called,pk,,30,,,,,,350,,,2016-03-31,,,"61, 49, 39, 36, 53, 39, 40, 2, 7, 14, 32, 20, 38, 30, 17, 1, 5, 28, 41, 41, 36, 26, 34, 23",27,
21,best veterinary doctor near me,pk,,30,,,,,,500,,,2020-03-18,,,"20, 24, 19, 9, 22, 25, 23, 23, 30, 28, 29, 33, 21, 22, 31, 19, 20, 23, 23, 32, 74, 60, 50, 17",43,
22,animal hospital lahore contact number,pk,,30,,,,,,30,,,2021-03-26,,,"16, 19, 10, 22, 31, 26, 34, 43, 34, 31, 44, 22, 54, 28, 14, 18, 20, 19, 43, 26, 53, 21, 42, 19",27,
23,veterinary doctor jobs in saudi arabia,pk,0,30,0.02,,veterinary jobs in saudi arabia,2026-08-01 01:12:25,"People also ask,Sitelinks",40,30,30,2016-01-02,"Informational,Transactional,Non-branded,Non-local",English,"51, 20, 13, 34, 15, 12, 28, 28, 10, 37, 25, 29, 88, 73, 17, 19, 6, 14, 12, 5, 6, 34, 35, 4",24,Job
24,veterinary doctor salary,pk,,30,,,,,,4300,,,2015-10-10,,,"114, 87, 71, 48, 51, 57, 36, 43, 56, 65, 70, 53, 52, 28, 16, 35, 43, 21, 23, 23, 22, 28, 17, 36",28,
25,animal hospital in lahore,pk,,30,,,,,,30,,,2015-12-17,"Informational,Commercial,Non-branded,Local",English,"18, 36, 16, 28, 25, 13, 15, 26, 84, 31, 21, 35, 34, 25, 28, 38, 15, 15, 21, 30, 28, 29, 21, 15",22,Veterinarians
26,veterinary doctor salary in pakistan,pk,0,20,,,veterinary doctor salary in pakistan,2026-08-06 16:10:02,"AI Overview,People also ask,Sitelinks",30,10,10,2015-09-12,"Informational,Non-branded,Non-local",English,"50, 32, 22, 22, 38, 30, 19, 30, 28, 15, 9, 23, 40, 32, 37, 40, 32, 22, 10, 25, 21, 5, 11, 3",7,Planning
27,veterinary doctor visiting card,pk,,20,,,,,,150,,,2015-12-09,,,"31, 18, 23, 28, 24, 17, 20, 21, 20, 16, 27, 18, 22, 37, 13, 25, 16, 19, 16, 30, 29, 16, 31, 19",22,
28,doctor of veterinary,pk,,20,,,,,,90,,,2016-08-19,,,"7, 3, 2, 16, 6, 13, 20, 27, 32, 29, 27, 38, 47, 28, 15, 7, 23, 16, 16, 24, 16, 14, 31, 15",20,
29,veterinary doctor card design,pk,,20,,,,,,50,,,2025-01-30,,,"0, 0, 0, 0, 3, 3, 17, 12, 2, 5, 17, 6, 18, 8, 11, 12, 16, 21, 14, 28, 15, 11, 13, 12",12,
30,animal doctor crossword clue,pk,,20,,,,,,350,,,2022-10-29,,,"0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 3, 10, 63, 60, 40, 13",37,
31,animal doctor lahore,pk,,20,0.03,,,,,20,,,2020-10-31,,,"19, 23, 30, 27, 15, 22, 30, 17, 51, 56, 20, 24, 25, 18, 21, 13, 0, 0, 22, 15, 105, 30, 24, 16",23,
32,veterinary doctor in lahore,pk,22,20,0.07,,vet doctor near me,2026-09-09 12:13:47,"Local pack,People also ask",20,150,150,2016-03-25,"Informational,Commercial,Transactional,Non-branded,Local",English,"2, 2, 0, 0, 0, 0, 0, 0, 0, 8, 10, 16, 0, 0, 23, 38, 44, 27, 31, 18, 27, 19, 23, 18",20,Veterinarians
33,pets clinic in lahore,pk,,20,,,,,,20,,,2015-10-21,,,"24, 19, 18, 14, 13, 19, 15, 23, 27, 28, 73, 57, 26, 29, 39, 10, 13, 14, 11, 8, 11, 27, 18, 27",24,
34,pets clinic lahore,pk,,20,,,,,,20,,,2017-12-15,,,"0, 0, 0, 0, 0, 0, 4, 9, 21, 12, 17, 22, 15, 7, 8, 0, 22, 14, 21, 21, 30, 20, 32, 10",21,
35,veterinary doctor visiting card urdu,pk,,20,,,,,,20,,,2024-05-25,,,"21, 14, 20, 19, 13, 22, 22, 26, 24, 34, 35, 30, 20, 18, 13, 9, 18, 24, 9, 16, 30, 5, 12, 2",7,
36,animal doctor called in english,pk,,20,,,,,,80,,,2016-11-30,,,"0, 16, 7, 1, 3, 0, 23, 1, 22, 28, 22, 24, 20, 37, 16, 0, 1, 11, 8, 28, 21, 30, 11, 7",16,
37,veterinary doctor meaning,pk,,20,,0.15,,,,400,,,2015-10-01,"Informational,Non-branded,Non-local",English,"75, 50, 90, 43, 36, 33, 27, 25, 24, 46, 17, 28, 16, 35, 12, 2, 5, 15, 24, 17, 25, 16, 19, 15",17,Veterinarians; Encyclopedias
38,government animal hospital lahore,pk,,20,,,,,,20,,,2020-03-07,,,"34, 47, 33, 35, 18, 32, 36, 29, 30, 27, 48, 33, 35, 29, 29, 27, 22, 36, 35, 30, 24, 20, 0, 0",7,
39,veterinary doctor helpline number,pk,,20,,,,,,150,,,2017-09-01,,,"0, 0, 0, 0, 0, 1, 0, 0, 2, 5, 5, 15, 5, 12, 9, 15, 12, 11, 7, 19, 65, 11, 7, 1",7,
40,veterinary doctor in pakistan,pk,22,20,,,pvmc,2026-08-10 20:38:12,"Local pack,People also ask",20,300,300,2016-06-09,"Informational,Commercial,Transactional,Non-branded,Local",English,"13, 8, 9, 5, 1, 7, 8, 17, 15, 8, 15, 29, 18, 12, 9, 42, 28, 17, 20, 22, 24, 20, 13, 6",13,Veterinarians
41,veterinary doctor course,pk,,20,0.10,,,,,2800,,,2015-09-24,"Informational,Non-branded,Non-local",English,"12, 9, 7, 19, 19, 22, 9, 16, 13, 24, 34, 25, 20, 30, 15, 8, 13, 16, 9, 13, 13, 14, 14, 22",17,Universities
42,dog bite vaccination center in lahore,pk,,20,,,,,,20,,,2021-10-06,,,"33, 40, 43, 57, 74, 58, 32, 28, 49, 31, 33, 21, 28, 41, 22, 44, 19, 4, 0, 0, 5, 12, 26, 19",19,
43,veterinary doctor degree name,pk,,10,,,,,,200,,,2019-04-07,,,"6, 2, 0, 1, 4, 2, 0, 3, 0, 4, 1, 1, 9, 2, 7, 4, 7, 4, 4, 12, 13, 14, 13, 1",10,
44,animal doctor course,pk,,10,0.10,,,,,800,,,2015-11-10,,,"2, 6, 4, 1, 3, 1, 5, 3, 4, 11, 12, 15, 13, 9, 10, 8, 12, 9, 12, 7, 3, 11, 9, 7",10,
45,doctor of veterinary medicine degree,pk,,10,,,,,,200,,,2016-05-12,,,"6, 3, 1, 0, 0, 4, 2, 1, 1, 8, 6, 10, 15, 3, 3, 8, 6, 4, 7, 4, 5, 1, 7, 6",6,
46,veterinary doctor jobs in pakistan,pk,,10,0.15,,,,,10,,,2015-10-02,,,"0, 6, 0, 16, 26, 9, 26, 10, 0, 0, 31, 24, 35, 8, 0, 16, 25, 1, 0, 0, 0, 0, 0, 0",1,
47,veterinary doctor salary in uk,pk,,10,,,,,,40,,,2020-06-16,,,"19, 11, 8, 3, 7, 4, 8, 17, 18, 16, 13, 8, 14, 5, 3, 8, 5, 5, 3, 3, 4, 6, 3, 7",6,
48,the vets animal hospital lahore,pk,,10,,,,,,10,,,2018-10-29,,,"6, 27, 15, 31, 10, 3, 33, 37, 21, 9, 34, 17, 2, 1, 1, 5, 2, 11, 21, 3, 13, 10, 40, 7",19,
49,vet in lahore,pk,,10,,,,,,10,,,2016-02-21,,,"9, 15, 23, 20, 27, 17, 27, 14, 19, 13, 26, 28, 11, 2, 0, 16, 10, 21, 14, 15, 25, 22, 12, 12",15,
50,veterinary doctor salary in australia per month,pk,,10,,,,,,100,,,2023-09-27,,,"6, 2, 7, 6, 9, 7, 9, 7, 7, 9, 17, 9, 10, 8, 5, 6, 5, 5, 10, 10, 17, 8, 11, 11",11,
51,free animal hospital in lahore timings,pk,,10,,,,,,10,,,2024-03-18,,,"12, 5, 4, 13, 3, 2, 5, 8, 18, 1, 22, 31, 6, 2, 9, 5, 0, 2, 12, 23, 20, 18, 20, 9",16,
52,what we called animal doctor,pk,,10,,,,,,30,,,2021-05-21,,,"6, 5, 1, 3, 4, 4, 5, 1, 1, 1, 4, 4, 11, 3, 1, 0, 1, 4, 3, 8, 9, 7, 6, 2",6,
53,animal doctor in english,pk,,10,,,,,,60,,,2016-03-11,,,"2, 3, 1, 0, 0, 6, 7, 3, 17, 17, 23, 21, 17, 14, 11, 1, 4, 4, 6, 7, 6, 8, 2, 2",5,
54,veterinary doctor salary in dubai,pk,,10,,,,,,70,,,2015-11-24,,,"1, 3, 4, 2, 1, 4, 1, 0, 0, 2, 14, 5, 4, 2, 4, 12, 12, 8, 7, 6, 1, 1, 1, 1",2,
55,veterinary clinic in lahore,pk,,10,,,,,,10,,,2018-01-29,"Informational,Commercial,Non-branded,Local",English,"10, 8, 7, 2, 2, 5, 5, 2, 4, 7, 42, 12, 11, 2, 0, 0, 10, 6, 31, 15, 16, 28, 22, 11",20,Veterinarians
56,veterinary doctor visiting card design,pk,,10,,,,,,70,,,2020-12-12,,,"17, 24, 11, 29, 16, 9, 4, 10, 4, 1, 3, 5, 8, 10, 6, 14, 15, 23, 15, 17, 24, 10, 15, 15",14,
57,doctor of veterinary medicine (dvm),pk,,10,,,,,,150,,,2017-08-22,,,"4, 2, 2, 4, 3, 0, 0, 2, 2, 0, 1, 8, 9, 11, 3, 4, 3, 6, 1, 13, 7, 12, 19, 8",13,
58,veterinary doctor called,pk,,10,,,,,,90,,,2021-07-26,,,"15, 17, 15, 11, 8, 8, 6, 2, 2, 4, 3, 3, 8, 10, 4, 4, 13, 13, 9, 17, 17, 5, 5, 4",6,
59,veterinary doctor jobs,pk,,10,0.08,,,,,90,,,2015-11-05,,,"3, 3, 3, 0, 5, 14, 8, 12, 21, 19, 11, 12, 20, 5, 3, 8, 15, 7, 1, 10, 0, 6, 4, 0",4,
60,animal doctor number,pk,,10,,,,,,70,,,2020-09-19,,,"0, 0, 0, 5, 2, 2, 5, 4, 11, 7, 10, 10, 8, 10, 6, 5, 14, 3, 1, 2, 16, 5, 6, 0",5,
61,animal doctor in karachi,pk,0,10,0.03,,vets near me,2026-08-20 04:40:09,"Local pack,People also ask",10,40,40,2016-02-24,"Informational,Commercial,Transactional,Non-branded,Local",English,"0, 0, 0, 0, 0, 17, 23, 19, 51, 55, 20, 21, 24, 11, 0, 0, 2, 8, 11, 18, 39, 7, 0, 1",4,Veterinarians
62,doctor animal,pk,,10,,,,,,500,,,2015-12-25,"Informational,Commercial,Non-branded,Local",English,"3, 5, 2, 0, 4, 6, 8, 23, 16, 9, 16, 10, 16, 17, 6, 5, 7, 12, 6, 14, 16, 2, 30, 26",19,Veterinarians
63,government animal hospital in lahore,pk,,10,,,,,,10,,,2016-12-14,"Informational,Branded,Local",English,"0, 0, 0, 0, 5, 0, 1, 18, 32, 15, 22, 35, 23, 12, 0, 0, 0, 0, 0, 14, 32, 22, 35, 15",24,Veterinarians
64,vet clinic in lahore,pk,,10,,,,,,10,,,2016-09-01,,,"4, 4, 4, 2, 4, 10, 11, 10, 10, 6, 38, 17, 7, 5, 0, 0, 7, 13, 11, 17, 14, 19, 17, 12",16,
65,doctor veterinary,pk,,10,,,,,,150,,,2016-01-27,,,"1, 0, 3, 3, 8, 9, 7, 2, 13, 4, 8, 4, 10, 10, 12, 8, 5, 5, 4, 12, 8, 3, 7, 3",5,
66,online veterinary doctor,pk,,10,0.09,,,,,400,,,2015-09-05,,,"30, 24, 17, 10, 7, 4, 12, 13, 28, 24, 10, 12, 10, 3, 1, 7, 9, 4, 5, 0, 19, 5, 2, 6",5,
67,govt animal hospital lahore,pk,,10,,,,,,10,,,2021-06-26,,,"9, 6, 2, 0, 0, 10, 33, 36, 37, 32, 28, 46, 36, 10, 1, 0, 0, 3, 13, 21, 25, 18, 22, 6",16,
68,doctor of animal,pk,,10,,,,,,250,,,2015-12-16,,,"36, 11, 8, 11, 17, 16, 15, 14, 14, 23, 22, 15, 24, 14, 15, 7, 8, 8, 5, 14, 13, 10, 10, 4",9,
69,animal doctor name in english,pk,,10,,,,,,50,,,2019-04-21,,,"6, 18, 10, 15, 16, 6, 12, 1, 0, 1, 2, 19, 3, 11, 3, 0, 0, 4, 2, 6, 11, 3, 15, 8",9,
70,animal doctor helpline number,pk,,10,,,,,,200,,,2017-07-29,,,"0, 1, 1, 0, 0, 0, 0, 2, 1, 9, 8, 8, 10, 5, 11, 3, 4, 5, 6, 15, 76, 9, 4, 0",5,
71,what animal doctor called,pk,,10,,,,,,40,,,2020-04-25,,,"15, 4, 5, 13, 6, 7, 4, 0, 2, 4, 4, 9, 3, 9, 4, 1, 2, 8, 10, 13, 3, 7, 4, 1",5,
72,animal doctor visiting card design,pk,,10,,,,,,60,,,2017-07-10,,,"0, 0, 0, 0, 0, 15, 3, 5, 10, 6, 13, 2, 7, 4, 5, 8, 5, 9, 14, 10, 6, 6, 20, 16",14,
73,doctor of animal is called,pk,,10,,,,,,90,,,2021-11-18,,,"21, 16, 19, 18, 26, 5, 11, 0, 8, 5, 13, 24, 6, 12, 9, 0, 0, 7, 8, 6, 2, 13, 2, 9",9,
74,visiting card design for veterinary doctor,pk,,10,,,,,,20,,,2021-03-13,,,"6, 25, 2, 23, 2, 2, 6, 11, 12, 1, 2, 7, 3, 7, 4, 4, 0, 0, 0, 5, 16, 22, 1, 0",8,
75,free animal hospital in lahore contact number,pk,,10,,,,,,10,,,2025-06-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 21, 27, 11",19,
76,veterinary doctor logo,pk,,10,,,,,,800,,,2015-09-05,"Informational,Commercial,Non-branded,Non-local",English,"5, 16, 12, 20, 8, 18, 20, 24, 21, 15, 24, 30, 25, 4, 13, 14, 4, 16, 15, 9, 6, 16, 8, 13",13,Veterinarians
77,cow doctor veterinary logo,pk,,10,,,,,,100,,,2023-02-02,,,"7, 7, 3, 7, 5, 5, 18, 22, 13, 13, 26, 21, 18, 14, 11, 14, 9, 20, 3, 4, 5, 0, 7, 4",5,
78,veterinary doctor in faisalabad,pk,,10,,,,,,10,,,2016-01-25,,,"2, 3, 4, 1, 0, 4, 2, 6, 6, 2, 1, 2, 0, 0, 3, 0, 0, 0, 2, 14, 31, 2, 12, 1",6,
79,veterinary doctor in karachi,pk,38,10,0.03,1.41,vets near me,2026-09-12 16:24:49,"Local pack,People also ask",10,40,40,2015-09-07,"Informational,Commercial,Transactional,Non-branded,Local",English,"14, 3, 3, 0, 2, 8, 10, 13, 22, 21, 12, 11, 4, 0, 7, 9, 20, 8, 11, 11, 57, 20, 6, 3",10,Veterinarians
80,animal doctor logo,pk,,10,,,,,,200,,,2017-04-03,,,"5, 1, 2, 6, 7, 4, 4, 12, 10, 5, 8, 6, 8, 5, 6, 10, 5, 4, 4, 4, 7, 8, 2, 15",9,
81,what is called animal doctor,pk,,10,,,,,,60,,,2021-12-13,,,"15, 12, 10, 6, 15, 11, 8, 0, 0, 5, 11, 6, 10, 6, 7, 1, 0, 9, 6, 5, 3, 5, 10, 10",9,
82,animal doctor course name,pk,,10,,,,,,300,,,2020-11-26,,,"2, 1, 3, 0, 1, 1, 3, 1, 3, 0, 5, 5, 6, 16, 5, 5, 5, 5, 5, 2, 4, 3, 5, 3",5,
83,doctor of veterinary medicine salary,pk,,10,,,,,,150,,,2015-09-16,,,"15, 13, 10, 6, 7, 5, 3, 9, 0, 9, 15, 7, 11, 11, 18, 7, 5, 8, 4, 7, 5, 14, 2, 8",9,
84,veterinary doctor jobs in uae,pk,,10,,,,,,40,,,2015-09-05,,,"10, 14, 7, 5, 1, 14, 6, 2, 5, 8, 1, 6, 10, 0, 7, 1, 7, 4, 12, 4, 6, 6, 6, 0",5,
85,animal doctor faisalabad,pk,,10,,,,,,10,,,2025-05-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 22, 32, 5, 3, 0, 0, 0, 0, 0, 0, 0, 2, 75, 0, 6, 0",3,
86,best veterinary doctor in lahore,pk,,10,0.10,,,,,10,,,2016-04-18,,,"20, 5, 0, 0, 0, 0, 0, 23, 19, 18, 19, 25, 22, 23, 22, 25, 10, 3, 0, 0, 9, 0, 0, 0",1,
87,animal doctor in karachi near me,pk,26,10,,,vets near me,2026-08-23 13:43:29,"Local pack,People also ask,Video preview",10,40,40,2021-07-11,"Informational,Commercial,Transactional,Non-branded,Local",English,"4, 14, 21, 34, 28, 29, 28, 29, 40, 25, 18, 15, 6, 18, 13, 9, 21, 4, 0, 4, 18, 16, 4, 0",7,Veterinarians
88,animal doctor rawalpindi,pk,,10,,,,,,10,,,2015-09-19,,,"6, 2, 2, 0, 0, 0, 0, 0, 8, 35, 5, 10, 3, 0, 3, 14, 9, 16, 11, 6, 31, 0, 12, 3",6,
89,what is veterinary doctor,pk,,10,,,,,,250,,,2019-09-02,,,"37, 32, 24, 42, 38, 36, 26, 24, 22, 14, 27, 19, 7, 13, 14, 1, 5, 12, 18, 16, 16, 24, 14, 12",17,
90,veterinary doctor rawalpindi,pk,,10,,,,,,10,,,2021-06-20,,,"8, 6, 4, 0, 8, 7, 10, 0, 17, 37, 10, 2, 0, 6, 0, 0, 2, 4, 1, 0, 73, 11, 36, 15",22,
91,free animal hospital in lahore price,pk,,10,,,,,,10,,,2024-08-16,"Informational,Commercial,Non-branded,Local",English,"8, 20, 3, 3, 9, 19, 12, 21, 24, 26, 31, 28, 16, 21, 20, 21, 10, 0, 0, 0, 0, 12, 14, 0",9,Veterinarians
92,what we call animal doctor,pk,,10,,,,,,60,,,2016-02-28,,,"16, 13, 11, 4, 11, 7, 6, 1, 5, 2, 6, 8, 9, 4, 3, 0, 1, 6, 11, 18, 9, 2, 1, 3",3,
93,defence animal hospital and rescue center lahore,pk,,10,,,,,,10,,,2026-04-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48, 0, 19, 9",10,
94,online veterinary doctor pakistan,pk,0,10,0.09,,veterinary doctor,2026-08-12 19:41:07,"People also ask,Local pack,Video preview",10,70,70,2020-03-31,"Informational,Commercial,Transactional,Non-branded,Local",English,"2, 2, 3, 0, 0, 1, 10, 17, 6, 5, 6, 2, 0, 6, 6, 0, 0, 0, 0, 9, 22, 5, 10, 0",6,Veterinarians
95,asad pets clinic lahore,pk,,10,,,,,,10,,,2015-09-01,,,"10, 2, 0, 0, 0, 0, 0, 3, 10, 3, 0, 5, 0, 25, 10, 17, 15, 3, 0, 0, 4, 10, 2, 0",5,
96,dvm doctor of veterinary medicine,pk,,10,,,,,,70,,,2016-01-05,,,"3, 3, 3, 0, 2, 0, 1, 0, 2, 1, 3, 5, 3, 42, 16, 5, 7, 3, 7, 7, 7, 7, 7, 6",7,
97,free veterinary doctor near me,pk,,10,,,,,,200,,,2020-10-08,,,"0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 1, 1, 3, 1, 2, 6, 6, 4, 5, 6, 49, 4, 14, 8",9,
98,animal doctor near me open now,pk,,10,,,,,,50,,,2024-03-27,"Commercial,Non-branded,Local",English,"5, 9, 4, 3, 4, 2, 10, 4, 17, 10, 14, 6, 11, 4, 1, 4, 4, 5, 6, 8, 51, 4, 9, 1",6,Veterinarians
99,best animal doctor near me,pk,,10,,,,,,80,,,2020-06-29,,,"1, 7, 5, 8, 6, 4, 11, 7, 17, 9, 4, 8, 4, 2, 4, 2, 4, 7, 10, 9, 20, 4, 5, 2",5,
100,animal doctor contact number,pk,,10,,,,,,60,,,2020-02-08,,,"1, 5, 0, 3, 2, 3, 4, 6, 7, 6, 3, 2, 6, 6, 13, 5, 6, 6, 9, 7, 18, 1, 2, 2",3,
101,veterinary doctor card,pk,,10,,,,,,50,,,2020-10-18,,,"8, 6, 4, 18, 3, 15, 5, 14, 14, 16, 3, 13, 16, 14, 7, 8, 13, 1, 10, 13, 12, 7, 13, 16",13,
102,round lake animal hospital dha lahore,pk,,,,,,,,,,,2023-01-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
103,what are the steps to become a veterinary doctor,pk,,,,,,,,20,,,2022-12-19,,,"0, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
104,i want to become a veterinary doctor,pk,,,,,,,,20,,,2023-03-29,,,"0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
105,doctor of veterinary medicine jobs,pk,,,,,,,,10,,,2017-11-24,,,"0, 0, 0, 0, 4, 2, 1, 0, 0, 5, 1, 1, 5, 0, 5, 1, 2, 2, 3, 0, 2, 0, 1, 0",1,
106,veterinary doctor poster,pk,,,,,,,,,,,2022-10-12,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 7, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0",1,
